Comment,Comment_Lower,Tokens,No_Punctuation,No_Stopwords,Stemmed,Lemmatized,Translated,Emoji_Text
"I materials had code if i want both displayed in same row and adjusent column, against each other","i materials had code if i want both displayed in same row and adjusent column, against each other","['i', 'materials', 'had', 'code', 'if', 'i', 'want', 'both', 'displayed', 'in', 'same', 'row', 'and', 'adjusent', 'column', ',', 'against', 'each', 'other']","['i', 'materials', 'had', 'code', 'if', 'i', 'want', 'both', 'displayed', 'in', 'same', 'row', 'and', 'adjusent', 'column', 'against', 'each', 'other']","['materials', 'code', 'want', 'displayed', 'row', 'adjusent', 'column']","['materi', 'code', 'want', 'display', 'row', 'adjus', 'column']","['material', 'code', 'want', 'displayed', 'row', 'adjusent', 'column']","i સામગ્રીમાં કોડ હતો જો હું ઇચ્છું છું કે બંને એક જ પંક્તિ અને અડીને આવેલા સ્તંભમાં પ્રદર્શિત થાય, એકબીજા સામે","I materials had code if i want both displayed in same row and adjusent column, against each other"
"About time excel got with the picture. But first thing I tried was a use in power query, sadly this seems not yet ready for prime time.  DataFormat.Error: Invalid cell value &#39;<a href=""http://www.youtube.com/results?search_query=%23value"">#VALUE</a>!&#39;. What a shame, gI uess need to wait to join all my data. (tears in the eyes). But appreciate the heads up on this feature it will be a game changer for dull lifless tables full of SKU&#39;s or partnumbers when the world is a visual beast.","about time excel got with the picture. but first thing i tried was a use in power query, sadly this seems not yet ready for prime time.  dataformat.error: invalid cell value &#39;<a href=""http://www.youtube.com/results?search_query=%23value"">#value</a>!&#39;. what a shame, gi uess need to wait to join all my data. (tears in the eyes). but appreciate the heads up on this feature it will be a game changer for dull lifless tables full of sku&#39;s or partnumbers when the world is a visual beast.","['about', 'time', 'excel', 'got', 'with', 'the', 'picture', '.', 'but', 'first', 'thing', 'i', 'tried', 'was', 'a', 'use', 'in', 'power', 'query', ',', 'sadly', 'this', 'seems', 'not', 'yet', 'ready', 'for', 'prime', 'time', '.', 'dataformat.error', ':', 'invalid', 'cell', 'value', '&', '#', '39', ';', '<', 'a', 'href=', ""''"", 'http', ':', '//www.youtube.com/results', '?', 'search_query=', '%', '23value', ""''"", '>', '#', 'value', '<', '/a', '>', '!', '&', '#', '39', ';', '.', 'what', 'a', 'shame', ',', 'gi', 'uess', 'need', 'to', 'wait', 'to', 'join', 'all', 'my', 'data', '.', '(', 'tears', 'in', 'the', 'eyes', ')', '.', 'but', 'appreciate', 'the', 'heads', 'up', 'on', 'this', 'feature', 'it', 'will', 'be', 'a', 'game', 'changer', 'for', 'dull', 'lifless', 'tables', 'full', 'of', 'sku', '&', '#', '39', ';', 's', 'or', 'partnumbers', 'when', 'the', 'world', 'is', 'a', 'visual', 'beast', '.']","['about', 'time', 'excel', 'got', 'with', 'the', 'picture', 'but', 'first', 'thing', 'i', 'tried', 'was', 'a', 'use', 'in', 'power', 'query', 'sadly', 'this', 'seems', 'not', 'yet', 'ready', 'for', 'prime', 'time', 'invalid', 'cell', 'value', '39', 'a', 'http', '23value', 'value', '39', 'what', 'a', 'shame', 'gi', 'uess', 'need', 'to', 'wait', 'to', 'join', 'all', 'my', 'data', 'tears', 'in', 'the', 'eyes', 'but', 'appreciate', 'the', 'heads', 'up', 'on', 'this', 'feature', 'it', 'will', 'be', 'a', 'game', 'changer', 'for', 'dull', 'lifless', 'tables', 'full', 'of', 'sku', '39', 's', 'or', 'partnumbers', 'when', 'the', 'world', 'is', 'a', 'visual', 'beast']","['time', 'excel', 'got', 'picture', 'first', 'thing', 'tried', 'use', 'power', 'query', 'sadly', 'seems', 'yet', 'ready', 'prime', 'time', 'invalid', 'cell', 'value', '39', 'http', '23value', 'value', '39', 'shame', 'gi', 'uess', 'need', 'wait', 'join', 'data', 'tears', 'eyes', 'appreciate', 'heads', 'feature', 'game', 'changer', 'dull', 'lifless', 'tables', 'full', 'sku', '39', 'partnumbers', 'world', 'visual', 'beast']","['time', 'excel', 'got', 'pictur', 'first', 'thing', 'tri', 'use', 'power', 'queri', 'sadli', 'seem', 'yet', 'readi', 'prime', 'time', 'invalid', 'cell', 'valu', '39', 'http', '23valu', 'valu', '39', 'shame', 'gi', 'uess', 'need', 'wait', 'join', 'data', 'tear', 'eye', 'appreci', 'head', 'featur', 'game', 'changer', 'dull', 'lifless', 'tabl', 'full', 'sku', '39', 'partnumb', 'world', 'visual', 'beast']","['time', 'excel', 'got', 'picture', 'first', 'thing', 'tried', 'use', 'power', 'query', 'sadly', 'seems', 'yet', 'ready', 'prime', 'time', 'invalid', 'cell', 'value', '39', 'http', '23value', 'value', '39', 'shame', 'gi', 'uess', 'need', 'wait', 'join', 'data', 'tear', 'eye', 'appreciate', 'head', 'feature', 'game', 'changer', 'dull', 'lifless', 'table', 'full', 'sku', '39', 'partnumbers', 'world', 'visual', 'beast']","સમય વિશેની એક્સેલ ચિત્ર સાથે મળી. પરંતુ મેં જે પ્રથમ વસ્તુનો પ્રયાસ કર્યો તે પાવર ક્વેરીમાં ઉપયોગ હતો, દુર્ભાગ્યે આ હજી સુધી પ્રાઇમ ટાઇમ માટે તૈયાર નથી. dataformat.error: અમાન્ય સેલ<a href=""http://www.youtube.com/results?search_query=%23value""> મૂલ્ય '#value</a>!'. શું શરમજનક છે, gi uess ને મારા બધા ડેટામાં જોડાવા માટે રાહ જોવાની જરૂર છે. (આંખોમાં આંસુ). પરંતુ આ સુવિધા પર હેડની પ્રશંસા કરો તે જ્યારે વિશ્વ દ્રશ્ય પશુ છે ત્યારે સ્કુ અથવા પાર્ટનરથી ભરેલા નીરસ લાઇફલેસ કોષ્ટકો માટે ગેમ ચેન્જર હશે.","About time excel got with the picture. But first thing I tried was a use in power query, sadly this seems not yet ready for prime time.  DataFormat.Error: Invalid cell value &#39;<a href=""http://www.youtube.com/results?search_query=%23value"">#VALUE</a>!&#39;. What a shame, gI uess need to wait to join all my data. (tears in the eyes). But appreciate the heads up on this feature it will be a game changer for dull lifless tables full of SKU&#39;s or partnumbers when the world is a visual beast."
Was this a phased release? My images are showing as text &#39;Picture&#39;. Anyone else have this issue? :(,was this a phased release? my images are showing as text &#39;picture&#39;. anyone else have this issue? :(,"['was', 'this', 'a', 'phased', 'release', '?', 'my', 'images', 'are', 'showing', 'as', 'text', '&', '#', '39', ';', 'picture', '&', '#', '39', ';', '.', 'anyone', 'else', 'have', 'this', 'issue', '?', ':', '(']","['was', 'this', 'a', 'phased', 'release', 'my', 'images', 'are', 'showing', 'as', 'text', '39', 'picture', '39', 'anyone', 'else', 'have', 'this', 'issue']","['phased', 'release', 'images', 'showing', 'text', '39', 'picture', '39', 'anyone', 'else', 'issue']","['phase', 'releas', 'imag', 'show', 'text', '39', 'pictur', '39', 'anyon', 'els', 'issu']","['phased', 'release', 'image', 'showing', 'text', '39', 'picture', '39', 'anyone', 'else', 'issue']",શું આ તબક્કાવાર પ્રકાશન હતું? મારી છબીઓ ટેક્સ્ટ 'ચિત્ર' તરીકે બતાવી રહી છે. બીજા કોઈને આ સમસ્યા છે? :(,Was this a phased release? My images are showing as text &#39;Picture&#39;. Anyone else have this issue? :(
Wow!!<br>Thanks a lot for sharing these nice tricks!,wow!!<br>thanks a lot for sharing these nice tricks!,"['wow', '!', '!', '<', 'br', '>', 'thanks', 'a', 'lot', 'for', 'sharing', 'these', 'nice', 'tricks', '!']","['wow', 'br', 'thanks', 'a', 'lot', 'for', 'sharing', 'these', 'nice', 'tricks']","['wow', 'br', 'thanks', 'lot', 'sharing', 'nice', 'tricks']","['wow', 'br', 'thank', 'lot', 'share', 'nice', 'trick']","['wow', 'br', 'thanks', 'lot', 'sharing', 'nice', 'trick']",વાહ!!<br>આ સરસ યુક્તિઓ શેર કરવા બદલ ખૂબ ખૂબ આભાર!,Wow!!<br>Thanks a lot for sharing these nice tricks!
This is super helpful and useful as well! Thank you!,this is super helpful and useful as well! thank you!,"['this', 'is', 'super', 'helpful', 'and', 'useful', 'as', 'well', '!', 'thank', 'you', '!']","['this', 'is', 'super', 'helpful', 'and', 'useful', 'as', 'well', 'thank', 'you']","['super', 'helpful', 'useful', 'well', 'thank']","['super', 'help', 'use', 'well', 'thank']","['super', 'helpful', 'useful', 'well', 'thank']",આ ખૂબ મદદરૂપ અને ઉપયોગી પણ છે! આભાર!,This is super helpful and useful as well! Thank you!
"@LeilaGharani , I have kind of a challenge for you. I need to present on my pivot chart the filter that was picked. I do not want users to start looking through the filter to figure out that the output is currently showing the information for Q1 this year for example.","@leilagharani , i have kind of a challenge for you. i need to present on my pivot chart the filter that was picked. i do not want users to start looking through the filter to figure out that the output is currently showing the information for q1 this year for example.","['@', 'leilagharani', ',', 'i', 'have', 'kind', 'of', 'a', 'challenge', 'for', 'you', '.', 'i', 'need', 'to', 'present', 'on', 'my', 'pivot', 'chart', 'the', 'filter', 'that', 'was', 'picked', '.', 'i', 'do', 'not', 'want', 'users', 'to', 'start', 'looking', 'through', 'the', 'filter', 'to', 'figure', 'out', 'that', 'the', 'output', 'is', 'currently', 'showing', 'the', 'information', 'for', 'q1', 'this', 'year', 'for', 'example', '.']","['leilagharani', 'i', 'have', 'kind', 'of', 'a', 'challenge', 'for', 'you', 'i', 'need', 'to', 'present', 'on', 'my', 'pivot', 'chart', 'the', 'filter', 'that', 'was', 'picked', 'i', 'do', 'not', 'want', 'users', 'to', 'start', 'looking', 'through', 'the', 'filter', 'to', 'figure', 'out', 'that', 'the', 'output', 'is', 'currently', 'showing', 'the', 'information', 'for', 'q1', 'this', 'year', 'for', 'example']","['leilagharani', 'kind', 'challenge', 'need', 'present', 'pivot', 'chart', 'filter', 'picked', 'want', 'users', 'start', 'looking', 'filter', 'figure', 'output', 'currently', 'showing', 'information', 'q1', 'year', 'example']","['leilagharani', 'kind', 'challeng', 'need', 'present', 'pivot', 'chart', 'filter', 'pick', 'want', 'user', 'start', 'look', 'filter', 'figur', 'output', 'current', 'show', 'inform', 'q1', 'year', 'exampl']","['leilagharani', 'kind', 'challenge', 'need', 'present', 'pivot', 'chart', 'filter', 'picked', 'want', 'user', 'start', 'looking', 'filter', 'figure', 'output', 'currently', 'showing', 'information', 'q1', 'year', 'example']","@ leilagharani, મારી પાસે તમારા માટે એક પ્રકારનો પડકાર છે. મારે મારા પિવોટ ચાર્ટ પર ફિલ્ટર રજૂ કરવાની જરૂર છે જે પસંદ કરવામાં આવ્યું હતું. હું નથી ઇચ્છતો કે વપરાશકર્તાઓ ફિલ્ટર દ્વારા જોવાનું શરૂ કરે કે આઉટપુટ હાલમાં આ વર્ષે q1 માટે માહિતી બતાવી રહ્યું છે.","@LeilaGharani , I have kind of a challenge for you. I need to present on my pivot chart the filter that was picked. I do not want users to start looking through the filter to figure out that the output is currently showing the information for Q1 this year for example."
"As always, great presentation 🙂 Works for me in the Table itself, but not in the Pivot afterwords 😞 ?","as always, great presentation 🙂 works for me in the table itself, but not in the pivot afterwords 😞 ?","['as', 'always', ',', 'great', 'presentation', '🙂', 'works', 'for', 'me', 'in', 'the', 'table', 'itself', ',', 'but', 'not', 'in', 'the', 'pivot', 'afterwords', '😞', '?']","['as', 'always', 'great', 'presentation', 'works', 'for', 'me', 'in', 'the', 'table', 'itself', 'but', 'not', 'in', 'the', 'pivot', 'afterwords']","['always', 'great', 'presentation', 'works', 'table', 'pivot', 'afterwords']","['alway', 'great', 'present', 'work', 'tabl', 'pivot', 'afterword']","['always', 'great', 'presentation', 'work', 'table', 'pivot', 'afterwords']","હંમેશની જેમ, મહાન પ્રસ્તુતિ મારા માટે કોષ્ટકમાં જ 🙂 કામ કરે છે, પરંતુ શબ્દો પછીના ધરીમાં નહીં😞?","As always, great presentation :slightly_smiling_face: Works for me in the Table itself, but not in the Pivot afterwords :disappointed_face: ?"
Thanks for the class.  Can the same be done with States of the United States?,thanks for the class.  can the same be done with states of the united states?,"['thanks', 'for', 'the', 'class', '.', 'can', 'the', 'same', 'be', 'done', 'with', 'states', 'of', 'the', 'united', 'states', '?']","['thanks', 'for', 'the', 'class', 'can', 'the', 'same', 'be', 'done', 'with', 'states', 'of', 'the', 'united', 'states']","['thanks', 'class', 'done', 'states', 'united', 'states']","['thank', 'class', 'done', 'state', 'unit', 'state']","['thanks', 'class', 'done', 'state', 'united', 'state']",વર્ગ માટે આભાર. શું તે જ યુનાઇટેડ સ્ટેટ્સના રાજ્યો સાથે કરી શકાય છે?,Thanks for the class.  Can the same be done with States of the United States?
When will it be available to general 365 users?,when will it be available to general 365 users?,"['when', 'will', 'it', 'be', 'available', 'to', 'general', '365', 'users', '?']","['when', 'will', 'it', 'be', 'available', 'to', 'general', '365', 'users']","['available', 'general', '365', 'users']","['avail', 'gener', '365', 'user']","['available', 'general', '365', 'user']",તે સામાન્ય 365 વપરાશકર્તાઓ માટે ક્યારે ઉપલબ્ધ થશે?,When will it be available to general 365 users?
Love that you can now insert pictures into cells but I&#39;d love it even more if it would be possible to dynamically get them from the web via a link referenced somewhere else in the file. This would open up so many possiblities for me.,love that you can now insert pictures into cells but i&#39;d love it even more if it would be possible to dynamically get them from the web via a link referenced somewhere else in the file. this would open up so many possiblities for me.,"['love', 'that', 'you', 'can', 'now', 'insert', 'pictures', 'into', 'cells', 'but', 'i', '&', '#', '39', ';', 'd', 'love', 'it', 'even', 'more', 'if', 'it', 'would', 'be', 'possible', 'to', 'dynamically', 'get', 'them', 'from', 'the', 'web', 'via', 'a', 'link', 'referenced', 'somewhere', 'else', 'in', 'the', 'file', '.', 'this', 'would', 'open', 'up', 'so', 'many', 'possiblities', 'for', 'me', '.']","['love', 'that', 'you', 'can', 'now', 'insert', 'pictures', 'into', 'cells', 'but', 'i', '39', 'd', 'love', 'it', 'even', 'more', 'if', 'it', 'would', 'be', 'possible', 'to', 'dynamically', 'get', 'them', 'from', 'the', 'web', 'via', 'a', 'link', 'referenced', 'somewhere', 'else', 'in', 'the', 'file', 'this', 'would', 'open', 'up', 'so', 'many', 'possiblities', 'for', 'me']","['love', 'insert', 'pictures', 'cells', '39', 'love', 'even', 'would', 'possible', 'dynamically', 'get', 'web', 'via', 'link', 'referenced', 'somewhere', 'else', 'file', 'would', 'open', 'many', 'possiblities']","['love', 'insert', 'pictur', 'cell', '39', 'love', 'even', 'would', 'possibl', 'dynam', 'get', 'web', 'via', 'link', 'referenc', 'somewher', 'els', 'file', 'would', 'open', 'mani', 'possibl']","['love', 'insert', 'picture', 'cell', '39', 'love', 'even', 'would', 'possible', 'dynamically', 'get', 'web', 'via', 'link', 'referenced', 'somewhere', 'else', 'file', 'would', 'open', 'many', 'possiblities']",પ્રેમ કરો કે તમે હવે કોષોમાં ચિત્રો શામેલ કરી શકો છો પરંતુ મને તે વધુ ગમશે જો ફાઇલમાં ક્યાંક સંદર્ભિત લિંક દ્વારા વેબમાંથી ગતિશીલ રીતે તેમને મેળવવું શક્ય બને. આ મારા માટે ઘણી બધી સંભાવનાઓ ખોલશે.,Love that you can now insert pictures into cells but I&#39;d love it even more if it would be possible to dynamically get them from the web via a link referenced somewhere else in the file. This would open up so many possiblities for me.
